id,State,Salary
DC,Washington DC,129
NY,New York,124
MA,Massachusetts,123
CT,Connecticut,118
GA,Georgia,117
IL,Illinois,116
NJ,New Jersey,111
CA,California,110
MS,Mississippi,107
WA,Washington,106
MD,Maryland,105
AL,Alabama,104
AR,Arkansas,104
MI,Michigan,104
VA,Virginia,103
IA,Iowa,101
MO,Missouri,101
NH,New Hampshire,101
SC,South Carolina,101
OR,Oregon,99
PA,Pennsylvania,99
TX,Texas,99
IN,Indiana,98
NC,North Carolina,98
OH,Ohio,98
WV,West Virginia,97
FL,Florida,95
OK,Oklahoma,95
TN,Tennessee,95
KS,Kansas,94
RI,Rhode Island,93
LS,Louisiana,92
CO,Colorado,91
ME,Maine,91
ND,North Dakota,91
VT,Vermont,91
WI,Wisconsin,91
DE,Delaware,90
MN,Minnesota,90
KY,Kentucky,89
NM,New Mexico,89
MT,Montana,86
WY,Wyoming,85
AZ,Arizona,84
UT,Utah,80
NV,Nevada,78
SD,South Dakota,77
AK,Alaska,75
NE,Nebraska,75
ID,Idaho,67
HI,Hawaii,63
