Date,MaxTempF,MeanTempF,MinTempF
1949-01-01,32,29,26
1949-01-02,36,33,30
1949-01-03,39,34,28
1949-01-04,42,34,27
1949-01-05,50,44,37
1949-01-06,50,44,37
1949-01-07,48,42,36
1949-01-08,57,46,35
1949-01-09,52,46,39
1949-01-10,43,41,39
1949-01-11,41,37,32
1949-01-12,37,34,30
1949-01-13,43,40,36
1949-01-14,44,37,30
1949-01-15,35,28,21
1949-01-16,48,42,36
1949-01-17,54,48,42
1949-01-18,46,40,35
1949-01-19,55,49,43
1949-01-20,41,36,30
1949-01-21,46,36,28
1949-01-22,50,42,34
1949-01-23,41,34,28
1949-01-24,45,40,36
1949-01-25,48,40,32
1949-01-26,37,34,32
1949-01-27,34,32,30
1949-01-28,52,43,34
1949-01-29,46,38,30
1949-01-30,28,24,19
1949-01-31,39,32,26
1950-01-01,41,36,32
1950-01-02,48,42,37
1950-01-03,51,48,45
1950-01-04,61,54,48
1950-01-05,61,54,48
1950-01-06,54,50,46
1950-01-07,46,38,30
1950-01-08,30,24,17
1950-01-09,39,32,25
1950-01-10,51,44,39
1950-01-11,54,41,28
1950-01-12,34,30,26
1950-01-13,52,44,35
1950-01-14,60,52,41
1950-01-15,46,38,30
1950-01-16,52,46,36
1950-01-17,39,34,30
1950-01-18,46,40,33
1950-01-19,32,28,24
1950-01-20,30,26,21
1950-01-21,37,29,21
1950-01-22,48,40,33
1950-01-23,51,46,39
1950-01-24,48,45,42
1950-01-25,42,39,36
1950-01-26,68,54,39
1950-01-27,59,44,28
1950-01-28,44,34,24
1950-01-29,50,47,44
1950-01-30,52,43,34
1950-01-31,36,34,32
1951-01-01,37,32,27
1951-01-02,43,36,28
1951-01-03,48,44,39
1951-01-04,53,46,39
1951-01-05,42,37,32
1951-01-06,46,38,30
1951-01-07,44,38,30
1951-01-08,28,24,21
1951-01-09,32,26,19
1951-01-10,42,34,26
1951-01-11,42,37,32
1951-01-12,42,38,33
1951-01-13,39,34,30
1951-01-14,42,34,25
1951-01-15,51,44,36
1951-01-16,39,36,30
1951-01-17,48,38,28
1951-01-18,50,44,37
1951-01-19,57,47,37
1951-01-20,53,46,39
1951-01-21,53,40,25
1951-01-22,28,24,19
1951-01-23,48,34,21
1951-01-24,50,44,37
1951-01-25,41,37,33
1951-01-26,35,32,28
1951-01-27,33,29,25
1951-01-28,35,30,26
1951-01-29,37,32,28
1951-01-30,28,22,17
1951-01-31,32,22,14
1952-01-01,48,46,44
1952-01-02,48,44,39
1952-01-03,39,36,33
1952-01-04,35,32,28
1952-01-05,44,38,33
1952-01-06,35,32,30
1952-01-07,30,26,21
1952-01-08,36,28,19
1952-01-09,43,36,28
1952-01-10,39,36,30
1952-01-11,37,31,25
1952-01-12,45,36,28
1952-01-13,43,38,34
1952-01-14,48,44,39
1952-01-15,46,44,41
1952-01-16,46,40,35
1952-01-17,45,36,28
1952-01-18,48,42,37
1952-01-19,39,34,30
1952-01-20,50,44,37
1952-01-21,39,32,25
1952-01-22,50,36,21
1952-01-23,48,40,30
1952-01-24,30,28,27
1952-01-25,39,30,21
1952-01-26,48,44,39
1952-01-27,55,50,45
1952-01-28,44,37,30
1952-01-29,30,21,10
1952-01-30,21,14,8
1952-01-31,32,26,19
1953-01-01,39,34,28
1953-01-02,42,35,28
1953-01-03,43,41,37
1953-01-04,42,38,30
1953-01-05,36,32,28
1953-01-06,33,30,28
1953-01-07,33,30,28
1953-01-08,35,30,26
1953-01-09,36,34,32
1953-01-10,36,35,34
1953-01-11,41,38,36
1953-01-12,39,34,30
1953-01-13,45,38,30
1953-01-14,50,42,33
1953-01-15,45,40,34
1953-01-16,57,46,32
1953-01-17,37,30,23
1953-01-18,46,42,37
1953-01-19,52,42,33
1953-01-20,44,40,37
1953-01-21,42,38,35
1953-01-22,44,39,34
1953-01-23,46,39,32
1953-01-24,52,48,45
1953-01-25,46,40,33
1953-01-26,33,28,23
1953-01-27,42,32,23
1953-01-28,50,44,35
1953-01-29,37,32,28
1953-01-30,39,31,25
1953-01-31,50,44,37
1954-01-01,46,35,24
1954-01-02,43,36,30
1954-01-03,46,42,37
1954-01-04,39,34,30
1954-01-05,37,32,26
1954-01-06,37,34,30
1954-01-07,34,31,28
1954-01-08,30,26,21
1954-01-09,45,33,21
1954-01-10,41,30,17
1954-01-11,21,19,17
1954-01-12,28,22,16
1954-01-13,21,16,12
1954-01-14,33,24,15
1954-01-15,39,34,28
1954-01-16,37,35,33
1954-01-17,37,24,10
1954-01-18,28,18,9
1954-01-19,39,33,27
1954-01-20,45,40,36
1954-01-21,53,43,30
1954-01-22,30,24,19
1954-01-23,27,22,16
1954-01-24,35,30,26
1954-01-25,41,38,34
1954-01-26,45,40,36
1954-01-27,51,45,39
1954-01-28,41,31,21
1954-01-29,30,22,14
1954-01-30,42,35,28
1954-01-31,30,27,24
1955-01-01,45,40,34
1955-01-02,51,44,37
1955-01-03,46,41,36
1955-01-04,48,39,30
1955-01-05,37,30,24
1955-01-06,42,37,32
1955-01-07,35,32,28
1955-01-08,39,33,27
1955-01-09,37,32,28
1955-01-10,43,38,32
1955-01-11,35,30,26
1955-01-12,33,28,23
1955-01-13,32,28,24
1955-01-14,34,28,21
1955-01-15,35,30,26
1955-01-16,36,32,28
1955-01-17,35,31,26
1955-01-18,37,30,24
1955-01-19,33,29,25
1955-01-20,33,28,21
1955-01-21,33,25,17
1955-01-22,37,32,28
1955-01-23,36,33,30
1955-01-24,36,32,28
1955-01-25,37,32,26
1955-01-26,37,31,26
1955-01-27,39,29,18
1955-01-28,23,18,14
1955-01-29,28,24,19
1955-01-30,25,22,19
1955-01-31,27,22,16
1956-01-01,30,24,19
1956-01-02,30,22,15
1956-01-03,37,34,30
1956-01-04,37,34,30
1956-01-05,41,38,33
1956-01-06,37,32,28
1956-01-07,32,28,21
1956-01-08,27,22,18
1956-01-09,46,35,24
1956-01-10,46,44,43
1956-01-11,43,41,39
1956-01-12,42,40,39
1956-01-13,39,36,33
1956-01-14,35,32,30
1956-01-15,44,38,33
1956-01-16,41,36,30
1956-01-17,37,32,28
1956-01-18,41,33,25
1956-01-19,34,30,25
1956-01-20,30,28,26
1956-01-21,37,30,23
1956-01-22,43,36,28
1956-01-23,35,30,23
1956-01-24,35,28,21
1956-01-25,37,30,23
1956-01-26,34,28,21
1956-01-27,34,28,23
1956-01-28,34,28,23
1956-01-29,36,32,28
1956-01-30,46,41,36
1956-01-31,37,32,28
1957-01-01,35,25,14
1957-01-02,26,19,12
1957-01-03,33,27,21
1957-01-04,46,38,30
1957-01-05,39,34,27
1957-01-06,32,26,19
1957-01-07,35,32,28
1957-01-08,42,36,30
1957-01-09,37,34,30
1957-01-10,36,28,19
1957-01-11,28,22,17
1957-01-12,37,30,24
1957-01-13,36,28,19
1957-01-14,24,18,10
1957-01-15,12,8,3
1957-01-16,25,18,12
1957-01-17,19,14,10
1957-01-18,24,16,9
1957-01-19,28,22,15
1957-01-20,37,27,17
1957-01-21,41,38,36
1957-01-22,46,42,37
1957-01-23,52,38,21
1957-01-24,27,22,17
1957-01-25,30,28,26
1957-01-26,37,32,28
1957-01-27,43,38,32
1957-01-28,37,34,32
1957-01-29,37,34,30
1957-01-30,39,34,30
1957-01-31,36,34,33
1958-01-01,50,42,33
1958-01-02,32,28,25
1958-01-03,30,26,21
1958-01-04,21,16,12
1958-01-05,33,24,15
1958-01-06,42,32,23
1958-01-07,37,34,30
1958-01-08,34,28,19
1958-01-09,28,22,16
1958-01-10,35,27,19
1958-01-11,37,29,21
1958-01-12,27,21,15
1958-01-13,34,28,21
1958-01-14,37,34,32
1958-01-15,39,37,34
1958-01-16,34,32,30
1958-01-17,33,30,28
1958-01-18,28,22,16
1958-01-19,26,20,14
1958-01-20,37,28,18
1958-01-21,42,36,30
1958-01-22,48,42,37
1958-01-23,44,39,34
1958-01-24,37,32,28
1958-01-25,43,40,36
1958-01-26,42,40,39
1958-01-27,42,40,39
1958-01-28,39,38,37
1958-01-29,45,41,37
1958-01-30,44,40,35
1958-01-31,44,38,33
1959-01-01,42,34,26
1959-01-02,48,44,39
1959-01-03,45,38,32
1959-01-04,43,36,28
1959-01-05,26,20,14
1959-01-06,21,18,14
1959-01-07,33,25,17
1959-01-08,34,28,21
1959-01-09,32,26,21
1959-01-10,28,24,19
1959-01-11,34,29,24
1959-01-12,39,32,26
1959-01-13,39,36,33
1959-01-14,39,34,30
1959-01-15,41,38,34
1959-01-16,42,37,32
1959-01-17,25,20,16
1959-01-18,25,20,16
1959-01-19,36,27,18
1959-01-20,37,35,33
1959-01-21,45,42,39
1959-01-22,50,39,28
1959-01-23,30,26,21
1959-01-24,37,29,21
1959-01-25,53,44,35
1959-01-26,35,30,24
1959-01-27,32,29,26
1959-01-28,35,27,19
1959-01-29,37,32,27
1959-01-30,55,47,39
1959-01-31,39,32,23
1960-01-01,41,34,27
1960-01-02,45,35,25
1960-01-03,51,45,39
1960-01-04,39,37,35
1960-01-05,37,34,30
1960-01-06,37,32,28
1960-01-07,37,36,35
1960-01-08,48,42,36
1960-01-09,37,30,23
1960-01-10,30,27,24
1960-01-11,28,24,21
1960-01-12,34,26,19
1960-01-13,35,32,28
1960-01-14,37,32,28
1960-01-15,42,38,33
1960-01-16,39,34,30
1960-01-17,41,36,30
1960-01-18,39,36,33
1960-01-19,41,36,30
1960-01-20,35,32,28
1960-01-21,32,30,27
1960-01-22,33,30,26
1960-01-23,36,33,30
1960-01-24,37,30,24
1960-01-25,37,32,27
1960-01-26,44,38,32
1960-01-27,48,39,30
1960-01-28,41,39,37
1960-01-29,46,40,34
1960-01-30,39,34,30
1960-01-31,39,36,32
1961-01-01,48,42,35
1961-01-02,36,32,28
1961-01-03,34,33,32
1961-01-04,32,28,24
1961-01-05,33,27,21
1961-01-06,45,38,30
1961-01-07,50,44,37
1961-01-08,44,36,27
1961-01-09,28,24,19
1961-01-10,35,27,19
1961-01-11,41,34,28
1961-01-12,41,38,35
1961-01-13,46,36,27
1961-01-14,52,46,39
1961-01-15,45,38,30
1961-01-16,32,30,28
1961-01-17,41,36,30
1961-01-18,41,36,28
1961-01-19,27,23,19
1961-01-20,19,16,10
1961-01-21,21,16,10
1961-01-22,21,18,12
1961-01-23,21,18,14
1961-01-24,25,20,16
1961-01-25,19,12,6
1961-01-26,21,16,12
1961-01-27,21,18,15
1961-01-28,21,16,12
1961-01-29,28,22,16
1961-01-30,23,19,15
1961-01-31,28,23,18
1962-01-01,34,32,27
1962-01-02,32,28,23
1962-01-03,35,30,25
1962-01-04,45,36,26
1962-01-05,34,28,21
1962-01-06,54,44,33
1962-01-07,50,46,41
1962-01-08,43,40,37
1962-01-09,34,30,25
1962-01-10,26,22,18
1962-01-11,26,21,16
1962-01-12,26,22,17
1962-01-13,34,26,18
1962-01-14,39,29,19
1962-01-15,50,44,37
1962-01-16,42,37,30
1962-01-17,36,30,21
1962-01-18,27,21,16
1962-01-19,30,24,19
1962-01-20,30,28,26
1962-01-21,36,28,19
1962-01-22,45,40,36
1962-01-23,46,37,28
1962-01-24,39,29,19
1962-01-25,46,39,32
1962-01-26,42,35,28
1962-01-27,45,36,26
1962-01-28,25,23,21
1962-01-29,30,24,19
1962-01-30,41,30,16
1962-01-31,23,18,12
1963-01-01,26,19,12
1963-01-02,34,28,21
1963-01-03,39,32,24
1963-01-04,39,36,33
1963-01-05,37,32,28
1963-01-06,39,34,30
1963-01-07,42,33,24
1963-01-08,42,38,33
1963-01-09,39,36,32
1963-01-10,44,36,28
1963-01-11,45,40,34
1963-01-12,39,37,35
1963-01-13,39,36,32
1963-01-14,30,26,21
1963-01-15,35,28,21
1963-01-16,32,25,18
1963-01-17,43,34,26
1963-01-18,42,38,35
1963-01-19,39,34,32
1963-01-20,46,42,39
1963-01-21,43,30,17
1963-01-22,33,24,15
1963-01-23,42,36,24
1963-01-24,21,14,6
1963-01-25,23,16,8
1963-01-26,33,26,19
1963-01-27,34,28,19
1963-01-28,24,20,16
1963-01-29,25,18,12
1963-01-30,32,28,25
1963-01-31,30,26,19
1964-01-01,42,33,24
1964-01-02,37,36,35
1964-01-03,43,36,30
1964-01-04,43,39,35
1964-01-05,41,37,33
1964-01-06,44,38,32
1964-01-07,43,40,34
1964-01-08,42,34,26
1964-01-09,46,40,33
1964-01-10,44,34,23
1964-01-11,35,29,23
1964-01-12,26,22,18
1964-01-13,21,16,10
1964-01-14,21,16,10
1964-01-15,28,20,12
1964-01-16,34,26,19
1964-01-17,37,30,24
1964-01-18,37,29,21
1964-01-19,43,34,25
1964-01-20,45,41,37
1964-01-21,50,44,37
1964-01-22,46,41,35
1964-01-23,44,37,30
1964-01-24,45,40,34
1964-01-25,48,45,41
1964-01-26,45,40,35
1964-01-27,44,39,34
1964-01-28,39,32,23
1964-01-29,33,26,18
1964-01-30,41,36,30
1964-01-31,36,30,23
1965-01-01,34,30,27
1965-01-02,30,28,26
1965-01-03,32,26,21
1965-01-04,39,34,28
1965-01-05,39,34,28
1965-01-06,46,41,36
1965-01-07,41,36,30
1965-01-08,46,44,41
1965-01-09,57,50,41
1965-01-10,39,34,28
1965-01-11,33,28,23
1965-01-12,35,32,28
1965-01-13,37,31,25
1965-01-14,36,24,10
1965-01-15,17,11,5
1965-01-16,17,14,10
1965-01-17,16,12,7
1965-01-18,24,17,10
1965-01-19,24,20,16
1965-01-20,34,28,23
1965-01-21,33,30,26
1965-01-22,45,36,26
1965-01-23,44,34,24
1965-01-24,34,29,24
1965-01-25,37,34,32
1965-01-26,41,34,28
1965-01-27,41,34,28
1965-01-28,36,28,19
1965-01-29,28,22,15
1965-01-30,19,14,10
1965-01-31,30,22,15
1966-01-01,61,54,48
1966-01-02,52,44,36
1966-01-03,44,40,37
1966-01-04,43,38,33
1966-01-05,46,39,32
1966-01-06,45,43,41
1966-01-07,46,42,37
1966-01-08,43,30,16
1966-01-09,30,23,16
1966-01-10,45,36,28
1966-01-11,37,30,21
1966-01-12,26,20,15
1966-01-13,32,21,12
1966-01-14,39,34,30
1966-01-15,39,34,27
1966-01-16,25,18,10
1966-01-17,37,28,19
1966-01-18,37,34,30
1966-01-19,36,32,28
1966-01-20,45,38,30
1966-01-21,39,36,34
1966-01-22,37,32,27
1966-01-23,37,34,32
1966-01-24,37,32,28
1966-01-25,32,26,21
1966-01-26,27,23,19
1966-01-27,33,26,19
1966-01-28,17,12,7
1966-01-29,23,16,10
1966-01-30,37,28,19
1966-01-31,23,18,12
1967-01-01,37,34,30
1967-01-02,45,40,35
1967-01-03,45,38,30
1967-01-04,41,40,39
1967-01-05,37,36,33
1967-01-06,35,32,30
1967-01-07,45,36,28
1967-01-08,46,45,42
1967-01-09,42,38,33
1967-01-10,37,34,30
1967-01-11,37,32,28
1967-01-12,34,30,28
1967-01-13,43,36,30
1967-01-14,42,40,39
1967-01-15,44,40,37
1967-01-16,37,34,27
1967-01-17,43,36,28
1967-01-18,37,28,16
1967-01-19,24,17,10
1967-01-20,36,28,21
1967-01-21,42,36,30
1967-01-22,53,44,35
1967-01-23,54,46,39
1967-01-24,60,52,43
1967-01-25,52,48,39
1967-01-26,59,49,39
1967-01-27,43,41,39
1967-01-28,39,36,30
1967-01-29,28,26,24
1967-01-30,34,29,24
1967-01-31,34,26,19
1968-01-01,30,21,10
1968-01-02,21,12,6
1968-01-03,34,28,21
