Date,Open,High,Low,Close,Adj Close,Volume
2014-09-16,4.702500,4.810000,4.687500,4.785000,4.577791,21993600
2014-09-17,4.772500,4.832500,4.750000,4.787500,4.580184,17358400
2014-09-18,4.817500,4.865000,4.802500,4.860000,4.649545,21960400
2014-09-19,4.875000,4.880000,4.762500,4.770000,4.563442,60131600
2014-09-22,4.867500,4.867500,4.717500,4.722500,4.517998,22146400
2014-09-23,4.697500,4.755000,4.680000,4.702500,4.498864,19614400
2014-09-24,4.700000,4.745000,4.695000,4.730000,4.525172,15959200
2014-09-25,4.725000,4.737500,4.617500,4.627500,4.427112,29844000
2014-09-26,4.642500,4.672500,4.622500,4.637500,4.436679,24118800
2014-09-29,4.600000,4.662500,4.555000,4.630000,4.429503,20854000
2014-09-30,4.610000,4.645000,4.557500,4.612500,4.412762,27720400
2014-10-01,4.620000,4.652500,4.555000,4.567500,4.369711,35097600
2014-10-02,4.560000,4.582500,4.442500,4.547500,4.350578,28899600
2014-10-03,4.575000,4.637500,4.557500,4.557500,4.360144,23914000
2014-10-06,4.575000,4.612500,4.500000,4.530000,4.333836,19903200
2014-10-07,4.510000,4.555000,4.477500,4.482500,4.288393,30189600
2014-10-08,4.477500,4.587500,4.442500,4.565000,4.367316,26017200
2014-10-09,4.545000,4.550000,4.440000,4.477500,4.283609,30695600
2014-10-10,4.442500,4.457500,4.210000,4.212500,4.030084,69137600
2014-10-13,4.240000,4.325000,4.192500,4.197500,4.015734,39762800
2014-10-14,4.255000,4.412500,4.230000,4.295000,4.109012,37662000
2014-10-15,4.232500,4.382500,4.205000,4.360000,4.171197,40442800
2014-10-16,4.282500,4.412500,4.272500,4.362500,4.173589,35111600
2014-10-17,4.415000,4.465000,4.337500,4.355000,4.166413,29071600
2014-10-20,4.355000,4.432500,4.325000,4.392500,4.202289,20033600
2014-10-21,4.425000,4.585000,4.412500,4.580000,4.381670,35109200
2014-10-22,4.572500,4.587500,4.472500,4.472500,4.278823,23951200
2014-10-23,4.550000,4.605000,4.517500,4.572500,4.374495,21447600
2014-10-24,4.600000,4.647500,4.572500,4.620000,4.419937,21015600
2014-10-27,4.617500,4.640000,4.567500,4.622500,4.422328,14509200
2014-10-28,4.610000,4.737500,4.605000,4.732500,4.527565,19258000
2014-10-29,4.712500,4.740000,4.660000,4.702500,4.498864,16834000
2014-10-30,4.690000,4.710000,4.612500,4.672500,4.470163,17026000
2014-10-31,4.780000,4.887500,4.755000,4.885000,4.673461,25631600
2014-11-03,4.997500,5.015000,4.942500,4.967500,4.752389,30873200
2014-11-04,5.000000,5.050000,4.917500,5.032500,4.814575,36019600
2014-11-05,5.062500,5.065000,4.995000,5.032500,4.814575,33565200
2014-11-06,5.042500,5.062500,4.965000,5.055000,4.836099,39408800
2014-11-07,5.112500,5.172500,4.897500,4.947500,4.733255,45080000
2014-11-10,4.942500,5.037500,4.930000,5.005000,4.788265,29338800
2014-11-11,4.975000,5.002500,4.902500,4.945000,4.730862,21299200
2014-11-12,4.927500,4.940000,4.845000,4.912500,4.699770,20458400
2014-11-13,4.930000,4.937500,4.847500,4.887500,4.675853,22532800
2014-11-14,4.892500,4.947500,4.845000,4.947500,4.733255,16024800
2014-11-17,4.925000,4.977500,4.892500,4.925000,4.711730,15873200
2014-11-18,4.927500,5.055000,4.915000,5.042500,4.824141,20777200
2014-11-19,5.025000,5.040000,4.950000,5.002500,4.806129,24030000
2014-11-20,4.967500,5.090000,4.952500,5.085000,4.885389,22096800
2014-11-21,5.130000,5.137500,5.070000,5.112500,4.911810,19897600
2014-11-24,5.125000,5.167500,5.105000,5.145000,4.943034,13600400
2014-11-25,5.135000,5.180000,5.125000,5.142500,4.940631,19024000
2014-11-26,5.112500,5.235000,5.110000,5.230000,5.024695,21926400
2014-11-28,5.247500,5.272500,5.200000,5.242500,5.036706,12483200
2014-12-01,5.220000,5.250000,5.137500,5.145000,4.943034,19006000
2014-12-02,5.140000,5.175000,5.092500,5.152500,4.950241,24595200
2014-12-03,5.177500,5.287500,5.162500,5.285000,5.077537,28442400
2014-12-04,5.277500,5.297500,5.202500,5.237500,5.031901,18533200
2014-12-05,5.240000,5.295000,5.237500,5.267500,5.060724,16568000
2014-12-08,5.260000,5.312500,5.157500,5.200000,4.995874,22694400
2014-12-09,5.167500,5.195000,5.090000,5.182500,4.979061,23944800
